aijh,6,4,5,3,4,1
ajch,7,6,2,3,7,4
accd,5,7,2,1,9,4
aijc,4,2,2,8,8,3
agja,9,8,8,8,4,6
aagd,9,9,4,4,5,5
abab,4,8,3,3,4,3
aigg,2,1,8,8,2,5
aahb,3,5,6,2,9,7
aedf,9,4,2,3,5,9
acbd,6,5,7,6,3,2
aiaf,3,1,4,2,7,9
aeej,9,9,4,8,3,5
aihe,2,7,1,3,5,3
aicf,9,2,2,8,5,5
abcg,1,2,8,5,5,8
afhh,7,4,1,2,9,9
aded,2,1,3,2,9,3
acea,5,9,9,6,6,2
adhi,7,6,2,3,1,7
abba,6,7,1,2,6,9
abec,2,8,6,1,6,3
ahgi,2,3,1,9,3,9
afjf,5,2,8,9,1,8
ahej,9,7,5,7,5,2
acgd,5,6,3,2,6,6
ahag,3,8,5,6,8,4
aaii,5,6,9,3,2,2
aejg,6,9,7,6,6,6
afed,8,9,5,9,9,1
abga,7,8,1,4,9,7
afej,9,8,2,7,3,9
adaf,8,4,8,9,8,2
agbf,5,2,7,5,9,8
ahhe,7,2,3,4,6,2
ahha,6,4,3,8,9,6
adcf,5,8,1,5,2,6
adee,6,7,5,5,9,2
agag,3,6,6,7,1,1
aejh,4,8,4,8,3,8
aiga,8,8,9,7,4,4
aagg,3,3,3,2,6,9
abgd,5,9,8,9,6,7
acha,5,2,4,9,7,8
aaeg,6,2,8,3,9,1
acfh,2,9,6,2,4,2
adjg,4,4,9,2,9,2
ahih,1,8,8,3,9,1
agai,3,3,6,5,2,7
aahi,9,3,5,7,6,1
afij,5,8,3,9,3,2
abhj,9,4,6,7,5,9
acbb,8,3,8,4,3,4
acfj,8,3,9,6,7,8
abdj,5,3,6,8,8,5
ajbg,2,1,3,9,4,2
afjg,6,5,5,5,3,6
aegf,1,8,9,5,6,6
aiid,4,5,4,1,1,5
aijb,7,3,1,2,7,1
ajia,5,9,7,5,3,3
aeia,8,7,6,3,7,3
ahab,5,9,1,5,5,9
aghg,7,6,5,8,9,6
ahbe,2,5,2,3,2,9
acdf,7,8,8,3,9,4
aiff,4,4,7,8,9,3
aecg,9,2,1,1,1,5
aceh,2,9,8,5,5,9
agge,7,1,5,8,4,5
aajd,3,6,2,4,1,3
aieg,4,3,6,9,4,6
aeba,4,6,6,2,5,6
abeg,8,2,1,9,7,6
aehd,6,5,8,2,9,4
aejf,6,7,3,8,3,7
achf,9,6,1,9,1,8
agid,1,6,4,3,6,5
ajgj,1,7,8,3,6,3
ahje,1,8,2,9,5,6
agfc,3,5,3,2,8,3
aafj,1,6,9,3,7,2
adfi,5,1,8,2,8,7
afia,6,9,2,3,2,2
ajbj,1,3,3,4,8,8
ajdc,5,8,6,9,9,5
acjf,3,8,8,3,2,5
ajai,1,1,5,1,7,9
aigc,4,6,1,5,8,1
acai,5,3,4,4,8,7
agcb,9,5,3,4,1,6
adje,3,8,5,8,1,9
acif,5,1,5,6,8,2
acji,2,8,6,4,7,4
ajea,6,2,2,7,8,8
afgd,7,5,3,1,8,8
aghi,8,4,1,1,5,2
aeed,4,2,4,5,7,8
aaja,3,8,3,8,2,3
aech,7,6,6,8,8,6
ahgb,2,5,9,1,4,7
acjd,5,9,5,9,5,7
adie,5,5,8,5,8,7
agij,3,6,4,9,8,6
aeib,9,6,1,2,4,5
ajje,8,3,7,8,8,5
acba,1,5,1,8,8,1
agbj,8,9,4,6,7,9
adib,1,7,4,3,9,7
adjj,3,7,3,7,8,8
agfe,6,2,6,1,9,1
aifj,9,5,3,6,3,7
ahba,2,1,2,4,9,3
abcb,8,9,9,9,3,6
affe,5,8,8,8,3,6
afhd,4,8,6,9,6,9
adcj,9,6,8,8,7,3
afcb,6,2,8,6,2,7
afac,7,7,7,3,9,3
ajjh,6,7,2,6,3,4
ajgb,7,7,3,5,8,3
aifh,2,4,2,3,8,8
agaf,9,9,2,7,9,7
ahii,5,4,3,2,9,6
ajbd,1,5,9,3,3,1
afbi,8,5,4,8,6,8
adda,7,1,5,5,6,2
adjf,3,5,6,9,5,8
ahdj,4,1,7,4,5,8
abhb,3,1,3,5,9,5
afjd,5,4,6,2,9,3
aabj,2,1,9,7,6,8
aaac,5,1,2,1,7,3
aeic,4,6,2,3,5,2
agba,8,9,2,6,6,3
aeah,1,1,9,8,9,6
aeac,1,9,2,7,9,9
afce,2,2,3,5,6,2
ajig,6,3,3,3,5,3
ahah,2,7,1,4,6,6
agjg,6,7,2,6,1,7
aicc,9,9,1,6,8,1
achj,3,9,5,6,2,8
acah,5,1,9,4,8,7
aebd,4,5,2,5,3,8
aajc,6,4,1,3,1,3
aafc,6,6,6,7,7,3
ahfd,1,2,9,3,9,9
acig,6,1,5,9,2,1
adaj,3,2,1,8,2,5
afha,9,7,2,8,5,4
agie,4,6,3,6,6,3
abcd,9,5,3,2,9,5
agec,8,8,6,2,5,4
adaa,6,3,4,5,7,8
aeif,6,9,4,9,6,1
acie,1,6,3,2,2,8
adgd,6,1,6,4,9,6
abig,7,6,1,7,6,4
abaf,3,9,3,6,7,4
ahcg,1,2,7,2,8,7
agdj,5,6,1,5,3,1
ajjd,7,7,1,9,6,4
afge,8,7,8,8,7,6
abcc,7,3,6,5,6,3
aggh,9,2,7,1,3,8
adij,1,9,7,7,4,7
abib,7,4,5,1,7,4
accf,2,9,3,9,4,9
ahig,2,4,9,6,1,9
agdd,6,4,2,7,3,6
afhe,2,9,8,3,4,2
acgb,1,6,2,8,1,5
ahfh,6,4,9,4,1,7
afdj,8,2,6,7,8,7
aahd,6,8,3,8,4,5
acgh,5,3,7,8,7,9
addc,4,8,2,1,3,9
afah,4,7,1,5,7,2
achh,3,7,6,3,9,1
ahjh,1,6,7,2,8,1
adcc,9,6,7,6,6,5
aabb,9,7,5,9,1,6
ajba,2,2,6,1,2,1
aeci,7,3,6,3,4,7
aadd,2,3,5,4,1,3
aief,9,4,1,1,3,1
ahfb,5,2,7,2,5,2
abhg,2,5,9,9,2,7
adfc,9,4,8,3,8,4
aijd,2,5,7,2,9,3
acgg,8,2,2,7,2,1
abdh,9,3,3,2,6,7
aggj,6,4,3,2,2,9
abbb,2,3,8,5,9,2
acfb,1,2,9,5,2,8
ajaa,2,2,7,1,7,8
aied,9,3,8,6,7,5
aiic,9,4,9,2,5,8
aacf,5,3,8,9,8,7
acbj,8,8,3,4,6,2
agia,7,2,1,4,2,9
agji,8,1,4,6,4,8
abff,8,6,8,2,7,5
aife,4,5,9,8,6,1
aecd,7,2,9,5,7,6
adjd,9,7,4,8,7,3
afdi,3,3,3,2,3,7
adih,4,5,1,4,1,9
adba,5,3,5,6,8,8
agje,6,6,8,6,6,2
aeaf,7,9,6,8,3,7
aeig,4,5,4,3,2,9
abea,5,3,5,1,3,5
aiah,8,6,6,5,6,2
addj,8,3,1,9,9,3
ahde,7,9,5,6,4,8
abie,5,3,1,9,2,4
acbc,3,5,1,6,1,9
aiee,1,8,7,2,5,5
aehf,2,9,2,8,2,8
aadj,1,5,5,8,9,4
aghf,3,7,2,7,8,9
afee,5,9,3,1,8,2
ajid,8,7,6,5,4,7
aidc,2,5,1,1,4,1
aehb,6,3,9,9,4,3
affb,3,9,1,4,4,6
aheh,3,4,2,8,2,8
adfd,8,1,1,5,1,1
afbc,2,8,2,2,7,6
afae,1,2,4,7,8,7
aaff,1,3,4,3,9,6
ajcg,5,6,4,5,4,4
ahjf,7,6,2,9,8,5
acce,9,7,4,7,5,9
ajbc,1,1,8,7,8,5
adhd,8,8,1,8,9,6
aebi,8,2,6,8,5,7
abfi,8,1,5,4,6,1
afaa,5,8,6,1,9,6
afgg,4,5,1,1,3,2
afbd,5,2,5,8,1,6
agcj,8,8,8,4,3,3
adgc,5,4,5,6,9,8
aija,8,1,5,2,9,8
aeaa,3,8,4,9,2,1
ajhe,2,7,6,3,7,8
agib,7,7,5,2,9,7
acia,1,8,7,2,8,7
aedd,4,1,1,4,7,5
ajjf,5,7,1,7,9,3
acbg,5,9,5,3,8,7
abde,3,7,1,8,9,2
ajgd,2,5,4,3,4,9
ajjg,1,7,6,3,7,9
agcg,5,6,7,1,3,7
agdc,8,6,5,6,9,1
abbd,1,3,8,7,5,6
ajdj,2,4,9,8,8,3
accc,1,9,8,8,1,9
affi,4,9,7,4,6,4
aiii,6,9,5,2,3,8
aigb,8,1,8,8,4,7
ajdd,7,4,9,8,8,6
afdf,4,2,4,8,4,6
aehc,2,8,2,1,4,9
ajbb,4,9,1,6,2,8
ahei,1,4,1,1,2,1
aiie,3,7,2,9,2,9
adde,2,7,4,9,8,2
acib,2,2,9,3,7,9
ajeg,9,2,3,5,8,9
agjc,1,3,1,6,4,7
aaaf,3,2,1,3,1,5
ajfd,6,4,1,6,6,3
adgi,7,6,6,5,2,5
acec,3,9,1,8,5,2
aacd,5,9,2,1,2,5
agic,7,9,3,2,7,7
aiij,1,8,2,2,1,7
agff,6,3,8,9,8,5
ahdc,1,6,8,4,3,7
aahf,9,5,7,4,9,8
ahif,6,8,8,1,4,1
afii,9,1,6,5,2,6
accb,9,9,4,4,8,1
aihc,7,8,6,7,3,7
aidj,3,9,8,4,7,7
abef,4,3,2,8,8,2
agcf,9,9,6,5,9,4
abad,4,5,8,4,7,1
agbi,5,3,7,4,4,4
adci,6,1,7,9,9,1
adjb,8,6,3,2,4,5
ajac,6,4,3,1,3,2
aahh,4,5,2,1,6,8
aaab,1,5,7,8,5,8
aaci,8,7,3,5,6,5
aadb,1,5,3,7,8,1
acca,6,9,1,8,5,4
aicg,4,1,8,7,1,3
abgc,5,4,3,2,5,8
adch,7,2,4,4,6,5
aici,2,2,1,3,8,6
aiej,2,4,6,9,9,9
ahbc,3,9,2,7,9,7
afef,3,1,2,2,6,8
afgj,4,1,6,5,8,7
adah,8,4,6,8,6,5
adhb,1,8,5,9,2,1
acfi,6,6,4,3,1,2
afbe,4,5,4,6,9,4
agee,8,3,2,3,5,2
abhh,4,7,4,5,8,6
acfe,5,3,1,6,4,2
abja,4,1,7,9,1,3
acde,5,1,6,6,1,4
abdi,2,6,8,8,6,1
abfd,2,1,7,9,8,7
aeeh,5,7,9,5,5,8
aedh,9,4,2,1,1,9
afcg,9,9,2,9,9,5
aiig,9,5,4,9,7,9
afja,1,9,3,5,1,6
ajhi,8,8,7,5,2,3
agae,3,7,3,6,1,9
agfj,8,7,8,5,8,9
ajfh,9,8,3,6,4,4
abdc,8,2,5,6,5,7
aggf,5,4,4,1,9,5
aagh,3,4,3,7,4,1
abgf,3,7,4,9,6,5
aaca,1,5,9,6,9,7
aeij,8,4,1,6,5,6
acjh,8,5,9,5,9,7
afhb,7,2,7,7,2,9
aibb,4,4,1,1,6,2
aidf,1,2,1,8,7,3
aeef,5,1,4,9,5,8
abah,9,3,1,3,9,4
abaj,4,5,7,2,9,3
aece,4,6,4,5,3,3
ahfa,2,4,8,5,6,5
ajji,3,9,9,2,2,5
agjd,6,9,3,7,9,6
agbg,6,6,1,5,9,9
aada,5,9,6,4,1,8
aeca,4,5,5,4,4,3
adab,3,3,3,6,2,4
aaid,8,4,1,8,3,7
aeei,1,7,3,5,1,4
aaad,7,4,3,8,9,9
acae,8,8,3,5,4,1
ajjc,1,9,1,8,9,4
ajef,2,7,7,4,6,2
ahgj,1,9,9,3,8,3
acbe,4,2,3,2,4,8
aibj,7,5,9,7,4,8
acja,2,4,5,3,7,3
aiea,3,8,3,3,3,6
abjb,4,1,1,7,9,7
acic,3,4,2,8,9,9
ahci,5,9,5,7,7,8
aade,6,2,6,6,8,7
aiji,7,8,4,1,5,1
adga,3,3,3,9,3,9
acee,1,8,6,7,3,9
abhf,9,6,3,6,4,7
ajfj,8,8,7,3,4,8
ajie,3,3,1,8,1,6
aegb,4,1,7,8,9,4
aedc,9,6,6,4,7,1
aeja,8,3,3,9,5,9
ahfj,8,7,3,3,1,7
abhd,8,8,8,3,8,5
aifc,8,1,5,4,9,8
aiha,7,7,7,1,6,9
adfg,4,4,8,8,4,3
afga,2,5,4,1,5,1
agej,7,4,1,1,5,8
adbb,6,4,8,9,1,8
aehi,7,3,2,7,7,9
ajda,6,2,3,7,7,3
agac,6,8,1,2,5,1
adge,8,6,3,1,5,1
ahcb,6,1,7,2,5,7
aajg,2,3,3,5,6,8
aigf,8,8,7,5,6,1
aibf,7,4,2,8,3,1
ajca,7,3,6,4,5,1
aiae,5,2,4,9,4,1
aecj,2,2,3,4,7,3
ahhg,5,5,1,2,6,1
aibi,9,5,3,1,5,8
aaei,9,3,2,2,2,3
abda,7,5,1,9,6,8
achg,1,8,9,6,9,6
aacb,2,8,3,1,5,9
afcj,1,8,1,2,8,5
agca,1,8,4,1,2,1
adef,5,5,6,8,7,7
afcd,6,3,6,9,5,2
aabg,1,8,3,9,3,2
agdh,7,4,5,3,5,3
ahea,8,3,7,8,5,3
aijf,9,3,2,8,3,2
aibc,6,7,8,7,3,4
ajfb,9,4,1,7,6,2
agah,2,4,8,4,8,7
achd,2,4,2,7,3,9
aege,8,4,6,3,5,9
abeb,4,8,8,5,8,9
adbf,1,6,7,6,8,9
abij,5,3,4,8,2,2
aibe,5,9,6,1,4,5
ajij,6,1,8,6,3,1
aeea,4,9,8,4,6,5
abai,7,8,7,6,8,1
acjb,8,3,3,1,6,7
abgh,5,9,1,8,2,7
affa,3,3,3,9,7,1
ajhc,1,5,8,8,7,9
afei,8,2,9,5,6,5
ahgd,2,4,5,3,9,9
aggb,8,9,3,3,8,2
aecc,6,1,5,4,6,4
adeh,3,1,5,5,9,4
adfb,8,3,4,7,3,2
abed,8,4,6,4,9,2
agaa,7,7,6,2,5,3
afci,9,7,7,2,6,6
acgc,1,4,3,9,1,4
aagf,1,5,8,5,1,2
aage,5,9,8,3,2,4
adgg,5,4,8,3,7,4
aijg,8,8,1,6,5,8
abih,1,7,8,8,2,4
agfg,8,1,9,6,2,7
aefh,7,2,4,7,4,9
afgi,7,2,8,9,3,4
achb,5,6,5,3,9,8
aije,1,6,6,5,2,6
ajjb,8,7,2,4,5,7
ahbb,9,2,6,2,8,7
afji,6,7,5,4,1,9
aegg,9,2,8,8,9,2
adcd,7,3,4,7,8,6
aggg,4,2,7,6,7,4
afaf,6,1,8,6,2,3
ajif,2,1,2,6,2,2
ajab,4,5,2,8,3,8
adca,6,2,7,8,3,8
agii,5,2,9,2,1,2
ahdb,5,8,4,9,4,6
adbi,8,8,7,5,9,1
aafg,5,2,7,7,5,6
aega,9,6,4,1,4,3
ajcb,6,9,7,1,8,3
abcj,4,7,5,1,8,5
aaag,5,6,4,5,7,3
ahgf,4,5,5,9,8,5
aceg,9,3,8,1,8,9
agab,9,5,8,1,1,8
ahff,7,6,1,7,8,5
afeb,9,6,4,6,6,3
abgg,8,6,4,8,8,6
aefj,4,3,3,4,1,6
acdj,2,3,9,3,9,3
aaef,4,6,5,8,9,5
acad,1,6,5,3,1,4
adbe,3,2,4,8,8,8
afjj,5,7,6,7,8,7
ahcf,6,9,4,1,5,3
abia,4,1,2,7,3,4
agjj,2,5,5,4,2,4
aeih,1,8,6,1,5,5
adcg,6,7,2,9,6,4
abii,8,4,1,4,8,2
aceb,5,1,1,5,8,4
afde,6,8,8,6,4,1
ahie,1,4,6,9,6,4
ajfc,4,6,1,4,7,6
abbf,2,4,8,6,3,6
aifg,7,6,4,1,1,3
adej,7,3,7,6,2,7
ajgc,7,1,5,2,5,6
afbj,6,2,2,5,8,1
aibg,5,4,4,5,3,9
agei,1,7,7,8,3,5
abjd,3,7,7,7,7,9
